TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
019M,16319,30257X10,20OCT2016,31DEC2018,1
019Y,16332,58409L30,17NOV2016,31DEC2018,1
01A0,16339,G0772R20,17NOV2016,31DEC2018,1
01A6,16277,25787G10,17NOV2016,31DEC2018,1
01A9,16382,22266L10,17NOV2016,31DEC2018,1
01AB,16342,G0084W10,17NOV2016,31DEC2018,1
01AC,16434,00509810,17NOV2016,31DEC2018,1
01AF,16347,01387210,17NOV2016,31DEC2018,1
01AR,16348,16965P10,17NOV2016,01NOV2018,1
01AR,16348,16965P20,15NOV2018,31DEC2018,1
01BH,16461,36165L10,15DEC2016,31DEC2018,1
01BP,16471,83191H10,15DEC2016,31DEC2018,1
01CQ,14829,86777J10,15DEC2016,29DEC2017,1
01D7,16099,60855D10,19JAN2017,31DEC2018,1
01DR,16496,G0684D10,19JAN2017,31DEC2018,1
01E5,18224,21241B10,09NOV2018,31DEC2018,1
01EC,16534,88675R10,19JAN2017,25JUL2018,1
01EE,16454,Y4105310,19JAN2017,31DEC2018,1
01FC,16553,47009K10,16FEB2017,31DEC2018,1
01FE,16557,48669A10,16FEB2017,31DEC2018,1
01FQ,16595,83304A10,16MAR2017,31DEC2018,1
01G1,16592,75134P30,16MAR2017,31DEC2018,1
01GF,16602,12674R10,16MAR2017,31DEC2018,1
01GF,,,14FEB2019,,6
01GW,16641,N7054410,20APR2017,31DEC2018,1
01GW,,,14FEB2019,,6
01H2,16341,34955310,20APR2017,31DEC2018,2
01HJ,16624,L0223L10,20APR2017,31DEC2018,1
01HP,16617,74347M10,20APR2017,31DEC2018,1
01HR,16626,G1083010,20APR2017,31DEC2018,1
01IF,16653,93627C10,20APR2017,31DEC2018,1
01IN,16676,69324R10,18MAY2017,31DEC2018,1
01J8,16669,G6455X10,18MAY2017,31DEC2018,1
01JE,16654,12739A10,18MAY2017,31DEC2018,1
01KJ,16657,18914U10,15JUN2017,31DEC2018,1
01KN,16668,98985W10,15JUN2017,31DEC2018,2
01KO,16738,03675Y10,15JUN2017,31DEC2018,1
01KO,,,14MAR2019,,6
01LF,16603,13508610,15JUN2017,31DEC2018,2
01LJ,16750,83418M10,15JUN2017,31DEC2018,1
01LL,16712,92347M10,15JUN2017,31DEC2018,1
01LR,16699,04016X10,15JUN2017,31DEC2018,1
01LS,16700,00215L10,15JUN2017,31DEC2018,1
01LW,16696,14575E10,15JUN2017,31DEC2018,1
01M9,16737,78413P10,15JUN2017,31DEC2018,1
01MD,16545,03063L70,20JUL2017,31DEC2018,2
01MD,,,19SEP2019,,6
01MI,16698,03782L10,20JUL2017,31DEC2018,1
01MJ,16710,G8232Y10,20JUL2017,31DEC2018,1
01NA,16805,82536T10,20JUL2017,31DEC2018,1
01NX,16755,09523Q10,20JUL2017,31DEC2018,1
01NX,,,20JUN2019,,6
01O6,16770,78649D10,20JUL2017,31DEC2018,1
01O6,,,14MAR2019,,6
01OH,16776,00887A10,17AUG2017,31DEC2018,1
01PI,16784,29667J10,17AUG2017,31DEC2018,1
01Q3,16818,13173L10,17AUG2017,31DEC2018,1
01QJ,16828,74930B10,14SEP2017,31DEC2018,1
01RT,16403,39032010,19OCT2017,31DEC2018,1
01S6,15505,20082810,19OCT2017,01JAN2018,1
01S6,15505,75956B10,18JAN2018,31DEC2018,1
01SC,16765,62857J10,19OCT2017,31DEC2018,1
01ST,16940,08653C10,19OCT2017,31DEC2018,1
01ST,,,14MAR2019,,6
01T2,15970,77738510,19OCT2017,31DEC2018,1
01T5,16933,81367P10,16NOV2017,31DEC2018,1
01T6,16923,15102K10,16NOV2017,31DEC2018,1
01TA,16968,60937P10,16NOV2017,31DEC2018,1
01TD,16930,65413A10,16NOV2017,31DEC2018,1
01TF,16928,50114710,16NOV2017,31DEC2018,1
01TT,16989,68752L10,16NOV2017,31DEC2018,1
01TV,16967,14178810,16NOV2017,31DEC2018,1
01TW,16992,68404V10,16NOV2017,31DEC2018,1
01UC,17023,81141R10,16NOV2017,31DEC2018,1
01UZ,16971,63845R10,14DEC2017,31DEC2018,1
01VE,15293,65342K10,14DEC2017,31DEC2018,1
01VQ,17034,02136910,14DEC2017,31DEC2018,1
01VQ,,,15AUG2019,,6
01VT,17045,00108J10,14DEC2017,31DEC2018,1
01W2,17115,N4482110,14DEC2017,31DEC2018,1
01W3,17104,03753U10,14DEC2017,31DEC2018,1
01W4,16163,G3402M10,14DEC2017,31DEC2018,1
01W7,17117,58958P10,14DEC2017,31DEC2018,1
01W7,,,16MAY2019,,6
01W8,17050,21988010,14DEC2017,19DEC2018,1
01WG,17037,78781P10,14DEC2017,31DEC2018,1
01X0,16903,62818Q10,18JAN2018,31DEC2018,1
01X8,17113,42829510,18JAN2018,31DEC2018,1
01XB,17125,24823R10,18JAN2018,31DEC2018,1
01XD,17155,74766Q10,18JAN2018,31DEC2018,1
01XF,17148,55055010,18JAN2018,31DEC2018,1
01XJ,75844,67077M10,18JAN2018,31DEC2018,2
01XP,17135,14713L10,18JAN2018,31DEC2018,1
01Y5,16844,82639W10,18JAN2018,31DEC2018,2
01YF,15782,97137512,18JAN2018,31DEC2018,1
01Z4,17221,53115L10,18JAN2018,31DEC2018,1
01Z7,17146,45113Y10,18JAN2018,31DEC2018,1
01ZA,17251,65441V10,15FEB2018,31DEC2018,1
01ZB,17223,00090Q10,15FEB2018,31DEC2018,1
01ZK,17252,72814N10,15MAR2018,31DEC2018,1
01ZN,17272,76133L10,15MAR2018,31DEC2018,1
01ZY,17322,46263D10,15MAR2018,31DEC2018,1
01ZY,,,15AUG2019,,6
0200,17281,12720310,15MAR2018,31DEC2018,1
0201,17332,92645B10,15MAR2018,31DEC2018,1
0208,16677,02133L10,15MAR2018,31DEC2018,1
020E,17157,G8947910,19APR2018,31DEC2018,1
020E,,,14MAR2019,,6
020K,17782,L8681T10,19APR2018,31DEC2018,1
020U,17287,19626A10,19APR2018,24JUN2018,1
020U,17287,19625T10,19JUL2018,31DEC2018,1
0226,17380,86740P10,19APR2018,31DEC2018,1
0228,17362,46267X10,17MAY2018,31DEC2018,1
022C,17379,68276W10,17MAY2018,31DEC2018,1
022J,17127,G3206V10,17MAY2018,31DEC2018,1
022K,17683,19764110,17MAY2018,31DEC2018,1
022T,17673,72582H10,17MAY2018,31DEC2018,1
022U,17692,52730D20,17MAY2018,31DEC2018,1
022V,17286,15503820,17MAY2018,31DEC2018,1
0234,17672,38431350,14JUN2018,31DEC2018,2
0234,,,14MAR2019,,6
0237,17691,65487K10,14JUN2018,31DEC2018,1
023A,17685,25616310,14JUN2018,31DEC2018,1
023B,17100,84651710,14JUN2018,31DEC2018,1
023R,17801,21044C10,14JUN2018,31DEC2018,1
023S,17799,45773010,14JUN2018,31DEC2018,1
023T,17836,71425410,14JUN2018,31DEC2018,1
023V,26607,08986R30,14JUN2018,31DEC2018,1
0249,17794,98311A10,14JUN2018,31DEC2018,1
024B,17792,71534710,14JUN2018,31DEC2018,1
024S,17788,72941B10,14JUN2018,31DEC2018,1
025V,17884,Y2889510,19JUL2018,31DEC2018,1
0260,17864,05550J10,19JUL2018,31DEC2018,1
0268,17939,74704P10,19JUL2018,31DEC2018,1
026D,17871,05455M10,19JUL2018,31DEC2018,1
026I,88659,00215W10,19JUL2018,31DEC2018,1
026P,17860,76133Q10,16AUG2018,31DEC2018,1
026U,17880,30041R10,16AUG2018,31DEC2018,1
026V,17899,89374L10,16AUG2018,31DEC2018,1
026W,17898,64131A10,16AUG2018,31DEC2018,1
0273,17351,19188J30,16AUG2018,31DEC2018,1
027P,17958,21037310,16AUG2018,31DEC2018,1
027T,17949,09371210,20SEP2018,31DEC2018,1
027U,17950,34417P10,20SEP2018,31DEC2018,1
027V,17956,08579X10,20SEP2018,31DEC2018,1
027W,17798,31948P10,20SEP2018,31DEC2018,1
027Y,17980,13758610,20SEP2018,31DEC2018,1
027Z,17967,05185710,20SEP2018,31DEC2018,1
0283,16836,05208W10,20SEP2018,31DEC2018,2
0288,18011,83570H10,20SEP2018,31DEC2018,1
028A,18013,04206A10,20SEP2018,31DEC2018,1
028C,15508,29668H70,20SEP2018,31DEC2018,2
028K,,,20SEP2018,,6
029J,18087,62914V10,18OCT2018,31DEC2018,1
029J,,,14FEB2019,,6
029Z,18102,09075F10,18OCT2018,31DEC2018,1
02A0,18062,28414H10,18OCT2018,31DEC2018,1
02A1,16905,30607B10,18OCT2018,31DEC2018,1
02AA,17316,22717L10,18OCT2018,31DEC2018,2
02AC,18063,29975E10,18OCT2018,31DEC2018,1
02AK,18085,50736W10,15NOV2018,31DEC2018,1
02AL,18128,86936710,15NOV2018,31DEC2018,1
02AM,18325,01643A20,10DEC2018,31DEC2018,1
02AO,18099,G0455310,15NOV2018,31DEC2018,1
02AP,18116,39868T10,15NOV2018,31DEC2018,1
02AQ,18108,13973710,15NOV2018,31DEC2018,1
02AV,18135,40131M10,15NOV2018,31DEC2018,1
02B4,18137,01977010,15NOV2018,31DEC2018,1
02B6,18141,03272L10,15NOV2018,31DEC2018,1
02B7,18195,29446K10,15NOV2018,31DEC2018,1
02BO,18183,83417Q10,15NOV2018,31DEC2018,1
02BP,18205,54142F10,15NOV2018,31DEC2018,1
02BS,18185,86389T10,15NOV2018,31DEC2018,1
02C9,18214,90184D10,20DEC2018,31DEC2018,1
02CB,18144,03965310,20DEC2018,31DEC2018,1
02CE,18260,G8196D10,20DEC2018,31DEC2018,1
02DO,,,17JAN2019,,6
02DY,,,17JAN2019,,6
02E2,,,14FEB2019,,6
02ED,,,14FEB2019,,6
02EH,,,14FEB2019,,6
02EJ,,,14FEB2019,,6
02EO,,,14FEB2019,,6
02ET,,,14FEB2019,,6
02F6,,,14MAR2019,,6
02FB,,,14MAR2019,,6
02FM,,,14MAR2019,,6
02FW,,,18APR2019,,6
02GC,,,18APR2019,,6
02GQ,,,18APR2019,,6
02GR,,,18APR2019,,6
02GS,,,18APR2019,,6
02H0,,,16MAY2019,,6
02H2,,,16MAY2019,,6
02H5,,,16MAY2019,,6
02H6,,,16MAY2019,,6
02HC,,,16MAY2019,,6
02HD,,,16MAY2019,,6
02HN,,,16MAY2019,,6
02HZ,,,16MAY2019,,6
02I4,,,16MAY2019,,6
02I5,,,16MAY2019,,6
02I8,,,16MAY2019,,6
02I9,,,20JUN2019,,6
02IE,,,20JUN2019,,6
02IL,,,20JUN2019,,6
02IQ,,,20JUN2019,,6
02IS,,,20JUN2019,,6
02IT,,,20JUN2019,,6
02IY,,,20JUN2019,,6
02J0,,,20JUN2019,,6
02J2,,,20JUN2019,,6
02J7,,,20JUN2019,,6
02J8,,,20JUN2019,,6
02J9,,,20JUN2019,,6
02JK,,,18JUL2019,,6
02JO,,,18JUL2019,,6
02JU,,,18JUL2019,,6
02K5,,,18JUL2019,,6
02KF,,,15AUG2019,,6
02KI,,,15AUG2019,,6
02KP,,,15AUG2019,,6
02KQ,,,15AUG2019,,6
02KS,,,15AUG2019,,6
02KV,,,15AUG2019,,6
02KW,,,15AUG2019,,6
02LW,,,15AUG2019,,6
02LX,,,15AUG2019,,6
A,60409,02742010,20OCT1983,14AUG1990,1
A1Z,,,14NOV2002,28JUL2005,6
A2,10560,00392410,16SEP2004,26OCT2007,2
AA,24643,02224910,15JAN1976,03JAN1999,1
AA,24643,01381710,14JAN1999,05OCT2016,1
AA,24643,01381750,20OCT2016,31OCT2016,1
AA,24643,03965L10,17NOV2016,31DEC2018,1
AA00,11368,00920710,17MAY2001,31DEC2018,1
AA05,10028,23507710,17MAY2001,04JUL2001,1
AA05,10028,23323G10,19JUL2001,13NOV2013,1
AA06,46076,94947610,17MAY2001,18MAY2007,1
AA07,77839,05380110,17MAY2001,26AUG2005,1
AA07,,,19JAN2006,15JUL2008,6
AA08,86770,12694810,17MAY2001,20APR2004,1
AA08,86770,89151W10,20MAY2004,26OCT2004,1
AA09,82156,25466810,17MAY2001,27DEC2010,1
